,0
0,8903.336000000028
1,11671.284000000021
2,13221.264000000021
3,14257.262000000019
4,14949.25600000002
5,15279.249000000018
6,15573.242000000018
7,15907.232000000016
8,16361.225000000017
9,16511.216000000015
10,14595.199000000015
11,13922.194000000016
12,12984.179000000015
13,11876.176000000014
14,10795.170000000013
15,10219.173000000013
16,9883.15400000001
17,9299.152000000011
18,9551.147000000012
19,9376.14700000001
20,10297.150000000012
21,10708.145000000013
22,12568.136000000011
23,12470.13000000001
24,14223.12800000001
25,15245.120000000008
26,15099.11300000001
27,15971.10300000001
28,15682.095000000008
29,16450.09000000001
30,17641.089000000007
31,17098.089000000007
32,15856.088000000007
33,15699.08400000001
34,14505.084000000008
35,14296.074000000006
36,14245.060000000007
37,14001.056000000006
38,14252.047000000004
39,12824.029000000002
40,12824.030000000002
41,13004.034000000003
42,12671.031000000003
43,12299.031000000003
44,11132.033000000003
45,10911.036000000004
46,11168.033000000003
47,10555.039000000004
48,10607.037000000004
49,11665.031000000003
50,11553.028000000002
51,12424.023000000001
52,12575.028000000002
53,13350.030000000002
54,14530.030000000002
55,14538.030000000002
56,14915.033000000003
57,14702.036000000004
58,14075.038000000004
59,14166.034000000003
60,13992.034000000003
61,13217.035000000003
62,13472.032000000003
63,13352.028000000002
64,13363.030000000002
65,13792.027000000002
66,13839.026000000002
67,13810.027000000002
68,14613.026000000002
69,14634.027000000002
70,14616.032000000003
71,14993.034000000003
72,14179.036000000004
73,14192.036000000002
74,13846.033000000003
75,13461.034000000003
76,12489.039000000004
77,12226.030000000002
78,12746.037000000002
79,12994.038000000002
80,12427.038000000002
81,13079.034000000003
82,13103.035000000003
83,13935.032000000003
84,13719.034000000003
85,13186.033000000003
86,13282.043000000003
87,13953.039000000004
88,13833.034000000003
89,13409.038000000004
90,13235.038000000004
91,12645.040000000005
92,13430.042000000003
93,12060.045000000004
94,12718.041000000005
95,14132.036000000004
96,14345.035000000003
97,14137.036000000004
98,14137.036000000004
99,14241.032000000003
100,14865.030000000002
101,15133.028000000002
102,14400.025000000001
103,14850.022
104,14059.022
105,13711.023000000001
106,13763.022
107,13763.023000000001
108,14356.023000000001
109,15141.022
110,14535.024000000001
111,13979.026000000002
112,14343.029000000002
113,15692.029000000002
114,15536.027000000002
115,14756.027000000002
116,14977.025000000001
117,15575.024000000001
118,15534.029000000002
119,14959.027000000002
120,14772.027000000002
121,14777.026000000002
122,14790.025000000001
123,13394.028000000002
124,13776.028000000002
125,14785.026000000002
126,14613.023000000001
127,13976.027000000002
128,13446.024000000001
129,13235.024000000001
130,13201.026000000002
131,12837.024000000001
132,12668.022
133,12845.024000000001
134,12473.022000000003
135,12070.023000000001
136,12156.017000000002
137,12416.012
138,13352.015000000001
139,13786.011000000002
140,13586.012000000002
141,14491.018
142,15284.017
143,16272.016000000001
144,16446.017
145,15697.014000000001
146,16451.016000000003
147,17413.017
