,0
0,11938.378571428617
1,17439.018285714326
2,21094.690857142887
3,22961.239285714313
4,24379.941428571456
5,25300.35914285717
6,26165.207571428597
7,26780.770000000026
8,27399.189857142886
9,27879.75114285717
10,25568.019285714316
11,23903.00514285717
12,22241.6985714286
13,21254.8335714286
14,20055.393571428598
15,19129.959714285742
16,18683.381714285737
17,17763.809285714313
18,17055.80714285717
19,16645.231571428598
20,18479.222428571455
21,18931.074714285736
22,20472.778428571448
23,21205.34600000002
24,21669.903857142875
25,21605.03900000002
26,21543.602571428586
27,22174.02485714288
28,22267.5832857143
29,22575.86271428573
30,21641.711571428586
31,21047.42414285716
32,20629.703000000012
33,20583.121857142865
34,20652.397714285726
35,20815.531714285724
36,20919.372285714293
37,21104.504428571436
38,21345.065142857147
39,21278.76257142858
40,21294.61742857143
41,22027.616714285716
42,21677.332285714285
43,21316.617000000002
44,21048.903571428575
45,20828.477428571434
46,20657.620714285724
47,19797.90914285715
48,19655.763714285717
49,19354.334142857148
50,19335.61985714286
51,19300.906571428575
52,19544.901142857147
53,19705.472857142864
54,19764.615
55,19838.902142857147
56,19682.046000000006
57,20096.188714285723
58,20255.04785714286
59,20297.760714285716
60,20145.901571428578
61,19623.330000000005
62,19488.044142857147
63,19591.33014285715
64,19698.18785714286
65,19881.758571428578
66,20290.330857142864
67,20629.616571428574
68,20818.331285714292
69,21343.757000000005
70,21182.330000000005
71,21694.760000000006
72,21806.331428571433
73,21758.329999999998
74,21666.187571428578
75,21245.899571428574
76,21264.18628571429
77,21117.47228571429
78,21036.472000000005
79,20877.901571428578
80,20655.75885714286
81,20098.187142857147
82,20150.90314285715
83,20015.617000000006
84,19921.617714285723
85,19935.331571428575
86,20182.188571428578
87,20322.47271428572
88,20271.329857142864
89,20194.61485714286
90,20030.042571428578
91,20217.614571428574
92,20029.758000000005
93,20814.755285714287
94,21216.612571428577
95,21142.042571428578
96,21226.896857142863
97,21104.47114285715
98,21603.755571428574
99,21862.89742857144
100,22177.613428571436
101,22648.32771428572
102,22823.898428571432
103,22619.042571428578
104,22589.75471428572
105,22493.610428571435
106,22243.182000000004
107,22005.040571428577
108,21917.47128571429
109,22295.184285714287
110,22280.469428571432
111,21714.751571428576
112,21735.323857142863
113,21457.039857142863
114,21722.037714285718
115,21726.611285714287
116,21872.896285714287
117,21998.897571428573
118,21857.752714285718
119,21759.608571428573
120,21470.326000000005
121,21467.181857142863
122,21222.60942857144
123,21455.89442857143
124,21403.18214285715
125,21448.897285714287
126,21347.04128571429
127,21366.61085714286
128,21040.46728571429
129,21051.326000000005
130,21501.753857142863
131,21994.038571428573
132,22109.326571428577
133,22347.753857142856
134,22255.611571428573
135,22370.040000000005
136,21954.32528571429
137,21618.894571428576
138,21775.609571428573
139,21779.892285714286
140,21482.03671428572
141,20855.751857142863
142,20557.60871428572
143,20249.751857142863
144,20285.75114285715
145,20162.035571428572
146,20516.034142857152
147,20739.034571428576
148,21248.178714285717
149,21591.89271428572
150,21335.46414285715
151,21407.606000000003
152,21450.32128571429
153,21909.320000000003
154,22054.890857142862
155,21839.60714285715
156,21930.321142857145
157,21709.606428571435
158,21517.891714285717
159,21519.46328571429
160,21953.890142857148
161,22358.17742857143
162,22571.749571428576
163,22682.033142857144
164,22611.748285714293
165,22470.318000000007
166,21995.46371428572
167,21954.462142857148
168,21787.319285714293
169,21815.74728571429
170,21875.746428571434
171,21378.606000000003
172,21140.89071428572
173,21010.748857142862
174,20803.459714285716
175,20862.60471428572
176,20932.317571428575
177,21004.461571428576
178,21091.463714285717
179,20666.607285714294
180,20477.607
181,20431.034428571435
182,20851.03185714286
183,20833.176000000007
184,20938.034000000007
185,21218.602428571434
186,21303.460000000003
187,21469.888714285717
188,21071.461142857144
189,21441.605000000003
190,21525.034285714293
191,21910.606142857145
192,22070.46314285715
193,22381.036571428576
194,22134.319571428576
195,21578.31957142858
196,21435.748571428576
197,21495.891000000003
198,21695.747857142862
199,21966.893428571435
200,22076.179571428573
201,21695.03371428572
202,21448.749714285717
