,0
0,12931.168534246597
1,13383.45286849318
2,13785.781309589061
3,14140.844178082214
4,14456.049542465767
5,14846.296065753439
6,15160.117939726038
7,15492.641205479462
8,15839.156260273983
9,16205.578167123296
10,16483.832953424666
11,16749.09596438357
12,17048.613775342474
13,17381.284994520553
14,17630.87678356165
15,17945.25485753425
16,18255.15896438357
17,18555.26581095891
18,18857.43841917809
19,19186.211021917818
20,19544.723353424666
21,19844.58088219179
22,20249.115139726036
23,20619.70418630138
24,20925.5261041096
25,21278.430202739735
26,21618.778147945213
27,21990.375400000004
28,22302.882260273982
29,22640.9370520548
30,22898.986383561652
31,23222.657627397275
32,23569.632969863025
33,23857.17817260275
34,24179.945279452062
35,24530.660345205488
36,24533.34254246576
37,24542.84940547946
38,24552.86037260275
39,24574.20558630138
40,24573.66859178083
41,24583.56724383563
42,24584.983665753436
43,24595.967221917825
44,24599.86035068494
45,24615.904194520557
46,24620.997350684942
47,24630.29051232878
48,24640.663128767137
49,24657.775438356173
50,24681.2631041096
51,24699.82200273974
52,24718.57542465754
53,24758.120619178088
54,24783.586380821926
55,24783.682293150698
56,24793.29325479454
57,24813.34805753426
58,24821.739821917818
59,24817.871323287687
60,24819.465863013713
61,24823.06311506851
62,24823.55351232878
63,24815.663104109604
64,24824.830238356182
65,24842.44390958905
66,24836.953512328782
67,24837.386369863027
68,24844.676769863017
69,24847.005578082208
70,24843.263093150697
71,24838.80008219179
72,24834.39186849316
73,24831.085016438366
74,24840.405575342476
75,24835.912408219185
76,24838.53706849316
77,24844.39186301371
78,24839.983649315076
79,24852.41378630138
80,24851.331578082198
81,24860.84938356165
82,24867.002824657542
83,24877.589112328773
84,24870.695975342474
85,24858.912416438365
86,24854.454884931518
87,24863.90692328768
88,24867.452126027405
89,24852.32336986302
90,24860.816520547953
91,24857.20555890412
92,24852.87680000001
93,24847.868558904116
94,24847.857619178092
95,24866.208309589052
96,24870.161739726038
97,24855.808320547956
98,24859.852150684943
99,24862.59187397261
100,24858.0822520548
101,24858.2137780822
102,24852.635717808225
103,24853.559005479463
104,24850.306939726037
105,24837.830216438364
106,24830.934336986313
107,24835.350783561655
108,24843.224745205487
109,24851.23021917809
110,24852.386380821925
111,24857.301463013708
112,24856.40283561645
113,24865.290493150693
114,24854.501460273983
115,24843.161745205492
116,24843.643920547955
117,24847.216526027405
118,24835.964484931512
119,24831.706947945215
120,24849.35626575343
121,24842.441191780832
122,24845.22201369864
123,24843.126117808228
124,24857.285010958913
125,24872.38639726029
126,24878.306915068504
127,24875.038432876725
128,24882.227479452067
129,24881.786372602746
130,24860.443904109594
131,24856.4001041096
132,24860.528863013707
133,24853.4685671233
134,24842.148013698636
135,24826.86583287672
136,24827.789112328774
137,24838.16169863014
138,24843.786350684935
139,24846.438413698634
140,24857.041167123294
141,24862.509663013705
142,24860.55622465754
143,24866.76717534247
144,24862.120597260277
145,24855.468547945213
146,24854.449367123292
147,24849.400060273983
148,24833.506906849318
149,24837.567180821923
150,24842.156238356172
151,24838.83294246576
152,24845.994580821924
153,24851.18362191781
154,24868.304172602744
155,24885.591849315075
156,24882.46857260275
157,24886.389087671236
158,24892.997315068496
159,24885.578139726033
160,24874.7343150685
161,24874.545290410966
162,24873.578158904118
163,24869.39458356165
164,24859.761709589053
165,24851.808273972605
166,24856.380876712334
167,24857.545257534253
168,24858.416487671235
169,24855.148013698643
170,24872.43293698631
171,24870.948027397273
172,24861.85213150686
173,24861.380890410965
174,24854.567191780832
175,24838.605550684944
176,24832.06582191782
177,24834.5507260274
178,24827.419235616442
179,24838.558953424665
180,24836.375397260283
181,24832.211021917814
182,24839.079531506857
183,24840.942526027407
184,24850.15622739727
185,24852.350753424667
186,24853.68498082192
187,24856.5507260274
188,24866.684969863014
189,24862.69320000001
190,24849.375386301374
191,24847.85210136987
192,24849.69046575343
193,24848.28774246576
194,24846.287736986305
195,24849.720600000004
196,24851.361693150688
197,24851.221980821923
198,24843.547997260277
199,24846.219227397265
200,24864.621975342474
201,24863.9343041096
202,24849.02198082193
203,24845.484991780828
204,24842.389115068505
205,24845.90690136987
206,24844.095939726034
207,24837.120602739735
208,24820.550734246583
209,24826.704153424664
210,24819.38635616439
211,24820.638419178093
212,24837.937049315075
213,24837.682260273978
214,24850.564449315076
215,24853.71512328768
216,24855.443895890417
217,24858.030183561652
218,24875.252101369864
219,24863.939775342467
220,24860.213739726034
221,24851.32333698631
222,24852.520605479458
223,24854.895950684935
224,24855.693216438365
225,24861.958953424666
226,24865.243909589055
227,24865.2439041096
228,24862.87952876713
229,24866.531572602744
230,24877.65211780823
231,24881.950734246584
232,24877.98635068494
233,24869.830186301377
234,24857.39458630138
235,24851.849386301383
236,24844.263101369874
237,24848.695975342474
238,24832.731597260285
239,24843.2302410959
240,24841.06858630138
241,24838.104202739738
242,24845.84118630138
243,24847.923383561654
244,24852.246671232886
245,24845.079545205488
246,24836.027493150694
247,24834.56722191782
248,24844.67133150686
249,24826.12339452056
250,24817.89051780823
251,24804.389139726038
252,24803.504202739736
253,24804.86036438357
254,24813.208309589052
255,24832.682287671243
256,24846.97543561645
257,24850.811049315078
258,24851.898720547953
259,24863.18366301371
260,24875.874073972613
261,24888.926126027407
262,24883.10421917809
263,24876.704235616453
264,24873.17547945207
265,24860.71246027399
266,24853.1754821918
267,24862.515208219196
268,24857.515208219196
269,24828.649471232893
270,24815.47686575344
271,24801.301523287686
272,24801.843978082205
273,24800.139865753437
274,24777.32070958906
275,24758.446753424676
276,24750.296079452077
277,24725.085126027418
278,24714.296076712348
279,24684.150860273992
280,24663.646758904135
281,24655.701550684957
282,24649.726216438376
283,24642.676901369883
284,24643.854983561665
285,24654.276915068516
286,24662.827602739748
287,24643.90158356167
288,24644.16460273975
289,24639.090638356192
290,24633.594720547968
291,24635.082386301397
292,24636.928964383584
293,24636.27965753427
294,24630.652263013722
295,24616.91253972605
296,24594.822120547968
297,24602.145421917834
298,24589.605695890437
299,24562.29336164386
300,24540.178295890437
301,24531.770071232902
302,24520.041309589065
303,24523.48240273975
304,24509.060490410986
305,24489.200221917836
306,24475.649547945228
307,24468.860495890433
308,24454.490641095912
309,24430.98653150688
310,24419.202967123314
311,24397.238580821944
312,24395.53174520551
313,24373.78927397263
314,24355.83037808222
315,24355.89339452058
316,24374.178336986326
317,24366.085210958936
318,24351.43865479455
319,24353.35098356167
320,24340.61400547948
321,24335.4331863014
322,24326.15099178085
323,24311.978391780853
324,24320.64141095893
325,24304.337342465788
326,23963.841446575374
327,23682.397652054828
328,23397.466117808253
329,23040.107197260306
330,22719.38393424661
331,22402.767501369897
332,22090.33190684935
333,21772.301797260316
334,21484.767553424696
335,21138.92373150689
336,20823.74839178086
337,20487.477145205517
338,20180.488120547987
339,19817.35388493155
340,19482.73471780826
341,19185.86074520552
342,18837.71830410963
343,18518.879947945243
344,18178.874463013737
345,17827.77859452059
346,17447.762158904152
347,17095.869035616477
348,16771.764931506892
349,16396.559476712366
350,16045.321134246615
351,15729.951273972643
352,15368.375931506893
353,15024.762260274016
354,14666.882824657572
355,14291.258197260311
356,13984.93765205483
357,13733.882865753454
358,13389.860953424688
359,13046.458232876745
360,12715.732213698659
361,12350.077424657558
362,12079.58429041098
363,11734.250065753444
364,11420.408967123305
365,11062.619926027417
366,10714.893882191798
367,10341.274723287685
368,9995.789805479466
369,9638.924046575354
