,0
0,5468.894428571441
1,8389.99485714287
2,10019.260000000011
3,10834.531571428579
4,11464.234428571437
5,11833.943428571438
6,12123.651000000009
7,12422.077000000007
8,12672.216571428582
9,13065.926571428583
10,11945.487714285726
11,11335.61900000001
12,10770.179857142868
13,9960.319714285724
14,9775.881428571442
15,9394.163428571439
16,9137.732571428582
17,8763.01642857144
18,8528.58542857144
19,8530.868000000011
20,9036.57800000001
21,9413.57300000001
22,9625.426714285724
23,10088.706714285725
24,10206.701857142865
25,10540.552000000009
26,10642.120571428577
27,10816.54171428572
28,10757.396285714292
29,10684.247571428574
30,10719.668000000005
31,10540.806428571434
32,10125.372285714288
33,10199.645571428575
34,10420.782428571432
35,10147.062714285717
36,10558.769714285718
37,10375.19142857143
38,10406.041857142858
39,10236.458
40,9878.031142857144
41,9780.745571428573
42,9888.317714285717
43,9612.031285714287
44,9513.888285714289
45,9255.459571428573
46,9072.173142857146
47,9128.886428571428
48,8968.313285714286
49,9188.600428571432
50,9137.741857142859
51,9179.313000000004
52,9275.170428571431
53,9600.884285714286
54,9573.171000000002
55,9530.886
56,9424.886142857144
57,9541.312714285714
58,9511.028714285716
59,9233.600714285716
60,9466.884714285714
61,9654.02742857143
62,9615.741857142857
63,9695.028714285714
64,9813.886571428573
65,10069.456571428573
66,10254.02885714286
67,10151.741571428573
68,10239.311285714286
69,10170.311571428572
70,10308.024571428572
71,10209.167714285713
72,10292.454714285717
73,10075.883857142859
74,9931.454571428574
75,9746.739285714288
76,9668.74
77,9437.599571428573
78,9470.312714285716
79,10035.170142857143
80,10087.45542857143
81,10223.026714285717
82,10215.597857142857
83,10110.884285714286
84,10235.311571428572
85,10377.883857142859
86,10505.31342857143
87,10752.314714285716
88,10728.314285714287
89,10449.029714285716
90,10411.170142857145
91,10315.169428571431
92,10238.025000000003
93,10321.881000000003
94,10400.596714285715
95,10692.45342857143
96,10808.309714285715
97,10598.88142857143
98,10591.452571428574
99,10350.453571428572
100,10223.453571428574
101,10166.59742857143
102,9998.884571428573
103,10155.455000000002
104,9993.456285714286
105,9982.168571428572
106,9757.598714285718
107,9947.028285714288
108,9669.599000000002
109,9787.742571428575
110,9918.886571428575
111,10168.600714285716
112,10317.886285714287
113,10557.741714285718
114,10663.02685714286
115,10387.169857142859
116,10535.597285714288
117,10565.740142857145
118,10846.599428571431
119,10881.170428571428
120,10796.454
121,10656.88285714286
122,10545.45428571429
123,10521.025714285717
124,10685.595285714287
125,11111.882142857145
126,11318.73828571429
127,11124.452428571429
128,11065.738285714286
129,10952.88142857143
130,10947.593714285716
131,11002.59385714286
132,10886.451714285717
133,10774.165714285717
134,10531.308142857146
135,10270.878
136,10285.305285714287
137,10377.878428571432
138,10220.022714285715
139,10280.879285714287
140,10210.30685714286
141,10355.165714285715
142,10359.167285714286
143,10475.024000000003
144,10768.880142857144
145,10905.594714285715
146,10806.165571428573
147,11151.164571428573
148,11315.736285714287
149,11453.165000000003
150,11241.452000000001
151,11181.736142857146
152,11198.87785714286
153,11005.306142857144
154,10714.44985714286
155,10828.020857142861
156,10779.022571428573
157,10638.87942857143
158,10653.737571428574
159,10485.164285714289
160,10573.163857142858
161,10458.021285714287
162,10449.308285714287
163,10416.165571428573
164,10448.022142857144
165,10296.020714285714
166,10230.021857142858
167,10083.59142857143
168,9860.734285714288
169,10087.734142857144
170,10155.735428571428
171,10461.735285714287
172,10351.735
173,10510.021571428573
174,10757.736000000003
175,10869.593285714287
176,10995.163714285716
177,11353.878
178,11520.735428571428
179,11319.735714285716
180,11071.307142857144
181,10885.73542857143
182,10897.165000000003
183,10919.73442857143
184,10311.736285714287
185,10580.594000000001
186,10608.879857142858
187,10400.166714285717
188,10366.738571428574
189,10439.45342857143
190,10591.026142857145
191,10526.310142857144
192,10752.881285714288
193,10412.739142857146
194,10529.024571428572
195,10270.166
196,10266.73742857143
197,10110.024571428572
198,9768.882857142858
199,10020.168000000001
200,10016.025285714288
201,10407.88228571429
202,10143.024000000001
203,10253.453000000003
204,10752.593714285716
205,10818.452571428572
206,10808.736714285715
207,10853.737714285715
208,11097.738142857144
209,10754.165285714287
210,10778.59385714286
211,10760.021714285715
212,10711.452142857144
213,10876.594714285715
214,10523.022714285717
215,10549.87985714286
216,10511.165142857146
217,10544.592714285714
218,10413.44942857143
219,10500.450428571432
220,10730.306571428573
221,10322.451142857144
222,10349.593285714287
223,10166.87942857143
224,10064.73728571429
225,9971.881142857146
226,10082.168142857145
227,9746.169428571431
228,9658.457714285714
229,9750.455714285714
230,9578.31185714286
231,9821.596857142858
232,9632.452285714287
233,9575.310142857144
234,10074.307285714287
235,9967.736285714287
236,9933.166
237,10052.022571428572
238,10415.590714285716
239,10207.735142857144
240,10031.736571428572
241,10287.877285714287
242,10357.734142857142
243,10366.306571428573
244,9968.448
245,9789.59342857143
246,9744.164857142856
247,9689.309714285715
248,9689.021428571428
249,9905.451142857144
250,10091.452428571429
251,9844.452571428572
252,9891.738142857144
253,9817.45042857143
254,9609.166285714286
255,9593.451714285717
256,9524.737285714287
257,9425.166000000001
258,9089.308571428572
259,9124.165857142858
260,8978.593142857144
261,8885.023285714286
262,8707.451714285717
263,8964.880142857144
264,9263.879428571428
265,9381.594000000001
266,9360.165857142858
267,9391.308571428572
268,9438.737857142858
269,9214.022142857144
270,9145.736285714287
271,9089.452000000001
272,9342.592857142858
273,9328.449714285714
274,9028.73342857143
275,8990.877714285714
276,8898.450857142858
277,8967.450285714285
278,8968.307714285716
279,8985.021714285716
280,9055.592571428571
281,9101.591571428571
282,8977.877428571428
283,8738.735571428571
284,8786.308571428572
285,8514.880571428572
286,8540.023142857144
287,8283.736714285715
288,8190.88042857143
289,8217.879000000003
290,7973.594571428572
291,7797.165571428573
292,7611.0225714285725
293,7788.5935714285715
294,7862.45
295,7840.306142857145
296,7763.305142857144
297,7646.735142857143
298,7509.735999999999
299,7322.450714285714
300,7043.164
301,6919.877714285715
302,6910.878571428572
303,6857.022428571429
304,6727.022285714287
305,6552.023428571428
306,6415.309714285716
307,6481.023857142857
308,6494.023714285715
309,6483.594714285714
310,6514.452714285713
311,6511.594857142858
312,6569.165142857143
313,6374.880142857144
314,6432.167000000001
315,6298.738142857143
316,6310.594571428572
317,6032.452571428572
318,5959.595285714286
319,5920.596571428572
320,5826.3108571428575
321,5724.879571428572
322,5540.307714285715
323,5746.879428571429
324,5648.450285714286
325,5783.878285714286
326,5695.594285714285
327,5759.021571428571
328,5736.022142857145
329,5599.454285714287
330,5378.026142857144
331,5291.453714285714
332,5344.881
333,5157.024857142858
334,5051.596571428572
335,4935.309571428572
336,4953.451285714286
337,5047.737142857143
338,4983.879285714286
339,5120.592857142858
340,5334.163428571429
341,5580.735857142857
342,5629.02042857143
343,5572.592
344,5689.163571428572
345,5644.591857142857
346,5634.736857142858
347,5407.023000000001
348,5271.166714285714
349,5395.878571428571
350,5338.308142857144
351,5263.306000000001
352,5095.450142857143
353,5229.0208571428575
354,5121.736
355,5143.592857142858
356,5044.878428571429
357,5118.449571428572
358,5040.020428571429
359,4845.164571428571
360,4646.020285714286
361,4498.164571428571
362,4621.449428571429
363,4553.021000000001
364,4432.306
365,4401.8769999999995
366,4463.877571428571
367,4573.447999999999
368,4578.733857142857
369,4669.734428571429
370,4897.7341428571435
