,0
0,11881.658038356198
1,12251.93177260276
2,12551.876873972615
3,12868.109693150695
4,13200.000071232884
5,13521.424684931506
6,13854.698652054796
7,14160.89042739726
8,14494.931520547945
9,14818.21918630137
10,15113.698638356165
11,15443.369871232879
12,15710.43835890411
13,16016.534246575342
14,16318.17808219178
15,16624.50684931507
16,16919.287671232876
17,17240.86301369863
18,17581.712328767124
19,17925.438356164384
20,18239.287671232876
21,18548.205479452055
22,18847.58904109589
23,19182.520547945205
24,19511.328767123287
25,19829.12328767123
26,20169.27397260274
27,20536.178082191782
28,20864.945205479453
29,21169.054794520547
30,21481.931520547947
31,21822.821931506853
32,22111.178090410962
33,22449.36987671233
34,22809.38358082192
35,23121.821939726033
36,23118.643852054796
37,23118.616460273977
38,23119.698649315073
39,23116.438386301368
40,23114.849342465757
41,23110.027427397265
42,23107.931528767127
43,23107.424673972604
44,23102.50688767124
45,23102.50688767124
46,23098.75346575343
47,23100.452076712332
48,23102.054816438358
49,23104.739745205483
50,23107.94522465754
51,23110.0685150685
52,23106.83564383562
53,23108.9863260274
54,23112.73974794521
55,23112.780835616442
56,23117.589054794524
57,23118.109605479454
58,23116.000010958905
59,23117.06850410959
60,23113.287690410958
61,23113.821936986304
62,23116.520561643836
63,23119.219186301372
64,23114.38357534247
65,23115.98631506849
66,23115.93153150685
67,23114.369879452057
68,23113.835632876715
69,23113.356169863015
70,23114.4246630137
71,23112.27398082192
72,23110.64384931507
73,23106.383572602743
74,23105.89041369863
75,23103.72603561644
76,23101.56165753425
77,23101.013715068497
78,23104.24658630137
79,23102.657542465753
80,23099.95891780822
81,23103.684947945207
82,23104.739745205483
83,23107.438369863015
84,23109.013717808222
85,23108.9863260274
86,23109.00002191781
87,23111.684950684936
88,23110.61645753425
89,23112.191805479455
90,23112.191805479455
91,23111.178095890413
92,23114.9041260274
93,23112.260284931508
94,23112.76713972603
95,23114.9041260274
96,23112.260284931508
97,23110.12329863014
98,23111.219183561643
99,23111.191791780824
100,23112.28767671233
101,23109.616443835617
102,23107.410978082196
103,23110.589065753422
104,23108.986326027396
105,23107.424673972604
106,23109.616443835617
107,23107.95892054795
108,23109.013717808222
109,23107.342498630143
110,23104.767136986302
111,23105.86302191781
112,23104.72604931507
113,23104.19180273973
114,23105.232904109595
115,23105.287687671236
116,23104.780832876713
117,23104.219194520552
118,23102.60275890411
119,23105.87671780822
120,23107.98631232877
121,23108.547950684933
122,23109.041109589045
123,23109.575356164387
124,23108.47947123288
125,23108.49316712329
126,23109.547964383564
127,23110.657545205482
128,23112.27398082192
129,23112.28767671233
130,23117.05480821918
131,23116.50686575343
132,23114.93151780822
133,23117.0822
134,23114.342487671238
135,23116.520561643836
136,23117.06850410959
137,23118.19178082192
138,23117.630142465754
139,23113.876720547945
140,23109.041109589045
141,23112.79453150685
142,23112.75344383562
143,23110.671241095893
144,23113.849328767126
145,23115.452068493152
146,23114.945213698633
147,23116.027402739728
148,23112.28767671233
149,23113.356169863015
150,23110.12329863014
151,23108.01370410959
152,23107.438369863015
153,23110.082210958906
154,23105.315079452055
155,23106.424660273973
156,23106.945210958904
157,23104.24658630137
158,23106.904123287673
159,23109.616443835617
160,23113.356169863015
161,23110.0685150685
162,23111.150704109594
163,23113.876720547945
164,23115.493156164386
165,23114.45205479452
166,23117.06850410959
167,23117.602750684935
168,23117.095895890412
169,23113.342473972603
170,23111.780821917808
171,23111.726038356166
172,23109.041109589045
173,23105.86302191781
174,23109.095893150687
